               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11929,            0.054713,            0.087767,                   0,                   0,                   0,                   0,             0.11984,            0.050462,            0.090092,              0.0991,              0.0001,              0.0001
                   1,             0.11784,              0.0506,            0.087577,                   0,                   0,                   0,                   0,             0.11903,            0.050867,             0.08996,            0.097294,          0.00029406,          0.00029406
                   2,             0.11689,              0.0579,            0.086395,                   0,                   0,                   0,                   0,             0.11752,            0.051778,            0.089661,             0.09548,           0.0004802,           0.0004802
                   3,             0.11625,             0.05325,            0.086404,                   0,                   0,                   0,                   0,             0.11542,            0.053183,            0.089164,            0.093658,          0.00065842,          0.00065842
                   4,             0.11181,            0.067364,            0.084935,                   0,                   0,                   0,                   0,             0.11253,            0.055063,            0.088501,            0.091829,          0.00082872,          0.00082872
                   5,             0.10856,            0.061098,            0.084937,            0.016204,             0.13492,            0.018095,           0.0043694,             0.10895,            0.056989,            0.087603,            0.089991,           0.0009911,           0.0009911
                   6,             0.10366,            0.082763,            0.083356,            0.025131,             0.22222,            0.037965,           0.0075106,             0.10485,            0.058335,            0.086434,            0.088146,           0.0011456,           0.0011456
                   7,              0.0993,             0.07317,              0.0823,            0.031981,             0.30159,             0.05382,            0.011258,            0.099421,            0.059602,             0.08506,            0.086292,           0.0012921,           0.0012921
                   8,            0.093797,            0.067648,            0.081278,              0.0329,              0.3254,            0.082582,            0.015372,            0.096507,            0.060719,            0.084245,            0.084431,           0.0014307,           0.0014307
                   9,            0.089884,            0.065459,            0.079946,            0.030926,             0.31746,            0.073429,            0.016843,            0.092966,            0.062064,            0.083101,            0.082561,           0.0015614,           0.0015614
                  10,             0.09255,            0.082128,              0.0812,            0.032517,             0.34127,             0.10172,            0.024296,            0.089215,             0.06362,            0.082012,            0.080684,           0.0016842,           0.0016842
                  11,            0.088378,            0.089239,            0.079994,            0.032869,             0.35714,             0.14674,            0.032844,            0.085824,            0.064655,            0.080846,            0.078799,           0.0017991,           0.0017991
                  12,            0.084931,            0.088967,             0.07809,            0.036354,             0.41429,             0.16479,            0.052367,            0.082323,             0.06546,            0.079503,            0.076906,            0.001906,            0.001906
                  13,            0.085555,             0.07442,            0.078191,            0.039849,             0.52619,             0.19075,            0.071908,            0.078608,            0.065583,            0.078247,            0.075005,            0.002005,            0.002005
                  14,            0.080129,            0.082663,            0.078043,            0.047833,             0.67857,             0.20869,            0.085535,            0.075642,            0.063867,            0.076959,            0.073096,           0.0020961,           0.0020961
                  15,            0.080498,            0.081499,             0.07508,            0.049638,             0.70238,             0.23318,            0.091496,            0.072523,            0.062233,            0.075528,            0.071179,           0.0021793,           0.0021793
                  16,            0.076013,            0.082562,             0.07478,            0.048036,             0.71429,             0.27068,             0.11997,            0.069185,            0.059846,            0.073889,            0.069255,           0.0022546,           0.0022546
                  17,            0.075202,            0.081766,            0.073702,            0.046596,             0.71429,             0.29525,             0.15164,            0.065896,            0.058593,            0.072529,            0.067322,           0.0023219,           0.0023219
                  18,            0.072282,             0.08294,            0.071933,            0.051181,              0.7381,             0.34974,             0.17532,            0.063817,            0.056467,               0.071,            0.065381,           0.0023813,           0.0023813
                  19,            0.071119,            0.087752,             0.07286,             0.75673,             0.21152,             0.33553,             0.15461,            0.062381,            0.054951,            0.069667,            0.063433,           0.0024328,           0.0024328
                  20,            0.070354,            0.072042,            0.071749,             0.74314,             0.21429,             0.34286,             0.15186,            0.060718,            0.054879,            0.068453,            0.061476,           0.0024764,           0.0024764
                  21,            0.068071,            0.077359,             0.06972,             0.59108,              0.2489,              0.3328,             0.13748,            0.059406,            0.055734,            0.067021,            0.059512,           0.0025121,           0.0025121
                  22,            0.066828,            0.081009,            0.068001,             0.36365,              0.4619,             0.32193,             0.13072,            0.059002,            0.057308,            0.065734,             0.05754,           0.0025398,           0.0025398
                  23,            0.066791,            0.066798,            0.066348,             0.99671,             0.11905,              0.2998,             0.11511,            0.060829,            0.059116,            0.064731,             0.05556,           0.0025596,           0.0025596
                  24,            0.070249,            0.080282,            0.066577,             0.99666,             0.11905,             0.24061,              0.1185,             0.06181,            0.062654,            0.063715,            0.053572,           0.0025715,           0.0025715
                  25,            0.065967,            0.068891,            0.064242,             0.36687,             0.34524,             0.26471,              0.1296,            0.060633,            0.061208,            0.062451,            0.051576,           0.0025755,           0.0025755
                  26,            0.064581,            0.080695,            0.064675,             0.41754,             0.45476,             0.20787,             0.12341,            0.060224,            0.060366,            0.060903,            0.049572,           0.0025716,           0.0025716
                  27,              0.0638,            0.073356,            0.061785,             0.39745,             0.57857,             0.25761,             0.14937,            0.060224,            0.060366,            0.060903,             0.04756,           0.0025597,           0.0025597
                  28,            0.064589,            0.066137,            0.060722,             0.40701,             0.56127,             0.41476,             0.20868,            0.055406,            0.056665,            0.059876,             0.04554,           0.0025399,           0.0025399
                  29,            0.063443,            0.058206,            0.063178,              0.4336,             0.57857,             0.35771,             0.20273,            0.055067,            0.055411,            0.058451,            0.043512,           0.0025122,           0.0025122
                  30,            0.063105,            0.072697,              0.0603,             0.43316,             0.70238,             0.40212,             0.23268,            0.055067,            0.055411,            0.058451,            0.041477,           0.0024766,           0.0024766
                  31,            0.061439,            0.064717,            0.060126,             0.41327,             0.59048,             0.47192,             0.27492,            0.051267,            0.053686,            0.057383,            0.039433,           0.0024331,           0.0024331
                  32,            0.060631,            0.073772,            0.059252,             0.39604,             0.51228,             0.46497,             0.20195,            0.059576,            0.051984,            0.056171,            0.037382,           0.0023816,           0.0023816
                  33,            0.063755,            0.065506,            0.057974,             0.40363,             0.46364,              0.4139,             0.18268,            0.059576,            0.051984,            0.056171,            0.035322,           0.0023222,           0.0023222
                  34,            0.062627,            0.058932,            0.056788,             0.39876,             0.73407,             0.43447,             0.20672,            0.049543,            0.051766,            0.055411,            0.033255,           0.0022549,           0.0022549
                  35,            0.061282,            0.066483,            0.057285,             0.37607,             0.72393,             0.42019,             0.19372,            0.057772,            0.049958,            0.054154,             0.03118,           0.0021797,           0.0021797
                  36,            0.059977,            0.076088,            0.055582,             0.37607,             0.72393,             0.42019,             0.19372,            0.057772,            0.049958,            0.054154,            0.029097,           0.0020966,           0.0020966
                  37,            0.056852,            0.075832,            0.054665,             0.48557,             0.66985,             0.49911,             0.25269,            0.045283,            0.050168,            0.053529,            0.027006,           0.0020055,           0.0020055
                  38,            0.057985,            0.062344,            0.055404,             0.42332,             0.62942,             0.50621,              0.2293,             0.05399,            0.050466,            0.052891,            0.024907,           0.0019065,           0.0019065
                  39,             0.06076,            0.067384,            0.053324,             0.42332,             0.62942,             0.50621,              0.2293,             0.05399,            0.050466,            0.052891,              0.0228,           0.0017996,           0.0017996
                  40,            0.055788,             0.07261,            0.055078,             0.46494,             0.66679,              0.5818,             0.33293,            0.043491,            0.050193,            0.052607,            0.020685,           0.0016848,           0.0016848
                  41,               0.054,            0.063214,            0.055775,             0.46174,             0.61092,              0.5873,             0.29023,            0.046451,            0.051025,             0.05221,            0.018562,           0.0015621,           0.0015621
                  42,            0.052163,            0.065789,            0.051136,             0.46174,             0.61092,              0.5873,             0.29023,            0.046451,            0.051025,             0.05221,            0.016431,           0.0014314,           0.0014314
                  43,            0.049743,            0.055018,             0.05102,             0.44861,             0.60741,             0.66086,             0.34252,            0.043368,            0.050852,            0.051831,            0.014293,           0.0012928,           0.0012928
                  44,            0.049926,            0.056753,             0.05055,             0.44861,             0.60741,             0.66086,             0.34252,            0.043368,            0.050852,            0.051831,            0.012146,           0.0011463,           0.0011463
                  45,            0.050423,            0.059703,            0.050209,             0.46139,             0.60122,             0.68974,             0.38331,            0.043097,            0.050227,            0.051463,           0.0099919,           0.0009919,           0.0009919
                  46,            0.051855,            0.044912,            0.055343,             0.46139,             0.60122,             0.68974,             0.38331,            0.043097,            0.050227,            0.051463,           0.0078296,          0.00082956,          0.00082956
                  47,            0.049571,            0.070872,            0.048413,             0.51122,             0.56444,             0.71914,             0.40856,            0.043242,            0.050333,            0.051282,           0.0056593,           0.0006593,           0.0006593
                  48,            0.047952,            0.058189,            0.048557,             0.51122,             0.56444,             0.71914,             0.40856,            0.043242,            0.050333,            0.051282,           0.0034811,          0.00048112,          0.00048112
                  49,             0.04934,            0.059184,            0.046285,             0.53269,             0.57821,             0.73259,             0.45999,             0.04145,            0.049509,            0.051218,            0.001295,          0.00029502,          0.00029502
